ticker,company_name,ciq_id,sector,industry,market_cap_mm,country,status,added_date,notes
HALO,"Halozyme Therapeutics, Inc.",,Healthcare,Biotechnology,7950.0,US,watchlist,2026-03-06,Stage1 screen (ROE=153.6%)
LYFT,"Lyft, Inc.",,Technology,Software - Application,5263.0,US,watchlist,2026-03-06,Stage1 screen (ROE=140.8%)
RRR,"Red Rock Resorts, Inc.",,Consumer Cyclical,Resorts & Casinos,6149.0,US,watchlist,2026-03-06,Stage1 screen (ROE=111.3%)
BLKB,"Blackbaud, Inc.",,Technology,Software - Application,2358.0,US,watchlist,2026-03-06,Stage1 screen (ROE=108.5%)
FTDR,"Frontdoor, Inc.",,Consumer Cyclical,Personal Services,4963.0,US,watchlist,2026-03-06,Stage1 screen (ROE=106.0%)
TGTX,"TG Therapeutics, Inc.",,Healthcare,Biotechnology,4636.0,US,watchlist,2026-03-06,Stage1 screen (ROE=102.8%)
ARWR,"Arrowhead Pharmaceuticals, Inc.",,Healthcare,Biotechnology,8906.0,US,watchlist,2026-03-06,Stage1 screen (ROE=75.5%)
DAVE,Dave Inc.,,Technology,Software - Application,2947.0,US,watchlist,2026-03-06,Stage1 screen (ROE=73.1%)
MANH,"Manhattan Associates, Inc.",,Technology,Software - Application,8858.0,US,watchlist,2026-03-06,Stage1 screen (ROE=71.7%)
PEGA,Pegasystems Inc.,,Technology,Software - Application,8028.0,US,watchlist,2026-03-06,Stage1 screen (ROE=57.3%)
TMDX,"TransMedics Group, Inc.",,Healthcare,Medical Devices,4805.0,US,watchlist,2026-03-06,Stage1 screen (ROE=54.2%)
VRRM,Verra Mobility Corporation,,Technology,Information Technology Services,2633.0,US,watchlist,2026-03-06,Stage1 screen (ROE=49.0%)
CALM,"Cal-Maine Foods, Inc.",,Consumer Defensive,Farm Products,4258.0,US,watchlist,2026-03-06,Stage1 screen (ROE=48.5%)
CARG,"CarGurus, Inc.",,Consumer Cyclical,Auto & Truck Dealerships,3264.0,US,watchlist,2026-03-06,Stage1 screen (ROE=43.0%)
IESC,"IES Holdings, Inc.",,Industrials,Engineering & Construction,8490.0,US,watchlist,2026-03-06,Stage1 screen (ROE=41.7%)
IDCC,"InterDigital, Inc.",,Technology,Software - Application,9364.0,US,watchlist,2026-03-06,Stage1 screen (ROE=41.5%)
FIZZ,National Beverage Corp.,,Consumer Defensive,Beverages - Non-Alcoholic,3345.0,US,watchlist,2026-03-06,Stage1 screen (ROE=40.9%)
ACAD,ACADIA Pharmaceuticals Inc.,,Healthcare,Biotechnology,3819.0,US,watchlist,2026-03-06,Stage1 screen (ROE=39.9%)
SFM,"Sprouts Farmers Market, Inc.",,Consumer Defensive,Grocery Stores,7489.0,US,watchlist,2026-03-06,Stage1 screen (ROE=38.4%)
QLYS,"Qualys, Inc.",,Technology,Software - Infrastructure,3566.0,US,watchlist,2026-03-06,Stage1 screen (ROE=38.2%)
DUOL,"Duolingo, Inc.",,Technology,Software - Application,4767.0,US,watchlist,2026-03-06,Stage1 screen (ROE=38.1%)
WDFC,WD-40 Company,,Basic Materials,Specialty Chemicals,3191.0,US,watchlist,2026-03-06,Stage1 screen (ROE=36.5%)
CHDN,Churchill Downs Incorporated,,Consumer Cyclical,Gambling,6278.0,US,watchlist,2026-03-06,Stage1 screen (ROE=35.7%)
ADMA,"ADMA Biologics, Inc.",,Healthcare,Biotechnology,3739.0,US,watchlist,2026-03-06,Stage1 screen (ROE=35.6%)
CVLT,"Commvault Systems, Inc.",,Technology,Software - Application,3882.0,US,watchlist,2026-03-06,Stage1 screen (ROE=34.5%)
CAKE,The Cheesecake Factory Incorporated,,Consumer Cyclical,Restaurants,3141.0,US,watchlist,2026-03-06,Stage1 screen (ROE=33.7%)
LIF,"Life360, Inc.",,Technology,Software - Application,3521.0,US,watchlist,2026-03-06,Stage1 screen (ROE=33.3%)
POOL,Pool Corporation,,Industrials,Industrial Distribution,8132.0,US,watchlist,2026-03-06,Stage1 screen (ROE=33.1%)
POWL,"Powell Industries, Inc.",,Industrials,Electrical Equipment & Parts,6108.0,US,watchlist,2026-03-06,Stage1 screen (ROE=32.2%)
WFRD,Weatherford International plc,,Energy,Oil & Gas Equipment & Services,6762.0,US,watchlist,2026-03-06,Stage1 screen (ROE=30.7%)
LOPE,"Grand Canyon Education, Inc.",,Consumer Defensive,Education & Training Services,4609.0,US,watchlist,2026-03-06,Stage1 screen (ROE=28.2%)
PPC,Pilgrim's Pride Corporation,,Consumer Defensive,Packaged Foods,9680.0,US,watchlist,2026-03-06,Stage1 screen (ROE=27.3%)
EXLS,"ExlService Holdings, Inc.",,Technology,Information Technology Services,5166.0,US,watchlist,2026-03-06,Stage1 screen (ROE=27.2%)
APPF,"AppFolio, Inc.",,Technology,Software - Application,6834.0,US,watchlist,2026-03-06,Stage1 screen (ROE=26.5%)
LAUR,"Laureate Education, Inc.",,Consumer Defensive,Education & Training Services,4704.0,US,watchlist,2026-03-06,Stage1 screen (ROE=26.4%)
EXPO,"Exponent, Inc.",,Industrials,Engineering & Construction,3753.0,US,watchlist,2026-03-06,Stage1 screen (ROE=26.1%)
CPRX,"Catalyst Pharmaceuticals, Inc.",,Healthcare,Biotechnology,2989.0,US,watchlist,2026-03-06,Stage1 screen (ROE=25.5%)
ADEA,Adeia Inc.,,Technology,Software - Application,2300.0,US,watchlist,2026-03-06,Stage1 screen (ROE=25.3%)
EEFT,"Euronet Worldwide, Inc.",,Technology,Software - Infrastructure,3121.0,US,watchlist,2026-03-06,Stage1 screen (ROE=24.5%)
COCO,"The Vita Coco Company, Inc.",,Consumer Defensive,Beverages - Non-Alcoholic,3025.0,US,watchlist,2026-03-06,Stage1 screen (ROE=24.2%)
SAIC,Science Applications International Corporation,,Technology,Information Technology Services,4299.0,US,watchlist,2026-03-06,Stage1 screen (ROE=23.8%)
MASI,Masimo Corporation,,Healthcare,Medical Devices,9425.0,US,watchlist,2026-03-06,Stage1 screen (ROE=23.4%)
IRDM,Iridium Communications Inc.,,Communication Services,Telecom Services,2514.0,US,watchlist,2026-03-06,Stage1 screen (ROE=22.0%)
LNTH,"Lantheus Holdings, Inc.",,Healthcare,Drug Manufacturers - Specialty & Generic,5189.0,US,watchlist,2026-03-06,Stage1 screen (ROE=21.4%)
PCTY,Paylocity Holding Corporation,,Technology,Software - Application,6308.0,US,watchlist,2026-03-06,Stage1 screen (ROE=21.0%)
IPAR,"Interparfums, Inc.",,Consumer Defensive,Household & Personal Products,3075.0,US,watchlist,2026-03-06,Stage1 screen (ROE=20.3%)
TTEK,"Tetra Tech, Inc.",,Industrials,Engineering & Construction,9163.0,US,watchlist,2026-03-06,Stage1 screen (ROE=19.9%)
CRUS,"Cirrus Logic, Inc.",,Technology,Semiconductors,6852.0,US,watchlist,2026-03-06,Stage1 screen (ROE=19.9%)
CSGS,"CSG Systems International, Inc.",,Technology,Software - Infrastructure,2277.0,US,watchlist,2026-03-06,Stage1 screen (ROE=19.7%)
HURN,Huron Consulting Group Inc.,,Industrials,Consulting Services,2505.0,US,watchlist,2026-03-06,Stage1 screen (ROE=19.3%)
ITRI,"Itron, Inc.",,Technology,Scientific & Technical Instruments,4100.0,US,watchlist,2026-03-06,Stage1 screen (ROE=19.3%)
DXPE,"DXP Enterprises, Inc.",,Industrials,Industrial Distribution,2192.0,US,watchlist,2026-03-06,Stage1 screen (ROE=19.3%)
