ticker,company_name,sector,industry,market_cap_mm,roe,net_income_mm,avg_volume,current_price,trailing_pe,revenue_growth,profit_margin,exchange
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,7950.0,153.6,316.9,2030490,67.36,26.3125,0.516,0.22690001,NASDAQ
LYFT,"Lyft, Inc.",Technology,Software - Application,5263.0,140.8,2844.0,15313949,13.18,1.9353892,0.027,0.45027,NASDAQ
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,6149.0,111.3,188.1,700525,59.8,19.166668,0.032,0.0935,NASDAQ
BLKB,"Blackbaud, Inc.",Technology,Software - Application,2358.0,108.5,115.0,442443,49.3,20.80169,-0.023,0.10189,NASDAQ
FTDR,"Frontdoor, Inc.",Consumer Cyclical,Personal Services,4963.0,106.0,255.0,576813,68.13,19.521488,0.134,0.121829994,NASDAQ
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,4636.0,102.8,447.2,1877503,29.03,10.4801445,0.78,0.7256,NASDAQ
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,8906.0,75.5,202.3,2933330,63.6,39.75,104.613,0.18540001,NASDAQ
DAVE,Dave Inc.,Technology,Software - Application,2947.0,73.1,195.9,509577,218.21,21.562254,0.624,0.35342997,NASDAQ
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,8858.0,71.7,219.9,785785,147.0,40.833336,0.166,0.20339,NASDAQ
PEGA,Pegasystems Inc.,Technology,Software - Application,8028.0,57.3,393.4,1979918,47.3,22.206572,0.027,0.22535999,NASDAQ
TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,4805.0,54.2,190.3,776235,140.07,28.761808,0.322,0.31427,NASDAQ
VRRM,Verra Mobility Corporation,Technology,Information Technology Services,2633.0,49.0,136.6,1557681,16.5,19.411764,0.164,0.13955,NASDAQ
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,4258.0,48.5,1153.1,1229905,89.35,3.7748203,-0.194,0.27367002,NASDAQ
CARG,"CarGurus, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3264.0,43.0,196.7,1167161,34.2,17.44898,0.055,0.17188999,NASDAQ
IESC,"IES Holdings, Inc.",Industrials,Engineering & Construction,8490.0,41.7,338.9,194845,426.01,25.327587,0.162,0.09766,NASDAQ
IDCC,"InterDigital, Inc.",Technology,Software - Application,9364.0,41.5,406.6,277076,363.74,30.877758,-0.374,0.48757,NASDAQ
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,3345.0,40.9,186.5,296706,35.72,17.949749,-0.01,0.1555,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,3819.0,39.9,391.0,1515051,22.4,9.73913,0.094,0.36491,NASDAQ
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,7489.0,38.4,523.7,2842622,76.91,14.483994,0.076,0.05947,NASDAQ
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,3566.0,38.2,198.3,604344,99.45,18.28125,0.101,0.29639,NASDAQ
DUOL,"Duolingo, Inc.",Technology,Software - Application,4767.0,38.1,414.1,2569471,101.54,11.848309,0.35,0.39905998,NASDAQ
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,3191.0,36.5,89.3,168430,235.87,35.846504,0.006,0.14417,NASDAQ
CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,6278.0,35.7,383.0,821575,90.04,17.020794,0.067,0.1309,NASDAQ
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,3739.0,35.6,146.9,2579408,15.7,26.166666,0.184,0.288,NASDAQ
CVLT,"Commvault Systems, Inc.",Technology,Software - Application,3882.0,34.5,87.0,969983,88.04,45.854168,0.195,0.07585,NASDAQ
CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,Restaurants,3141.0,33.7,148.4,1325148,62.99,20.584969,0.044,0.03956,NASDAQ
LIF,"Life360, Inc.",Technology,Software - Application,3521.0,33.3,150.8,1039000,44.91,121.37838,0.264,0.30815,NASDAQ
POOL,Pool Corporation,Industrials,Industrial Distribution,8132.0,33.1,404.4,813018,217.92,20.084791,-0.005,0.07683,NASDAQ
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,6108.0,32.2,187.4,254131,503.01,32.68421,0.04,0.16819,NASDAQ
WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,6762.0,30.7,431.0,1146642,94.27,15.897133,-0.039,0.08764,NASDAQ
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,Education & Training Services,4609.0,28.2,216.2,335085,164.8,21.34715,0.053,0.19544001,NASDAQ
PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,9680.0,27.3,1082.4,915990,40.75,8.975771,0.033,0.058509998,NASDAQ
EXLS,"ExlService Holdings, Inc.",Technology,Information Technology Services,5166.0,27.2,251.0,1835098,32.55,21.136364,0.127,0.12024,NASDAQ
APPF,"AppFolio, Inc.",Technology,Software - Application,6834.0,26.5,140.9,364327,189.9,49.069767,0.219,0.14821,NASDAQ
LAUR,"Laureate Education, Inc.",Consumer Defensive,Education & Training Services,4704.0,26.4,281.7,1113330,31.92,16.88889,0.279,0.16548,NASDAQ
EXPO,"Exponent, Inc.",Industrials,Engineering & Construction,3753.0,26.1,106.0,454173,74.32,36.610836,0.045,0.1975,NASDAQ
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,2989.0,25.5,214.3,1300878,24.32,14.476191,0.076,0.36389,NASDAQ
ADEA,Adeia Inc.,Technology,Software - Application,2300.0,25.3,111.1,790628,21.0,21.21212,0.533,0.25052,NASDAQ
EEFT,"Euronet Worldwide, Inc.",Technology,Software - Infrastructure,3121.0,24.5,309.5,760620,74.22,10.850877,0.059,0.072919995,NASDAQ
COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,3025.0,24.2,71.3,845489,53.0,44.53781,0.004,0.116960004,NASDAQ
SAIC,Science Applications International Corporation,Technology,Information Technology Services,4299.0,23.8,371.0,642310,93.41,11.945013,-0.056,0.050479997,NASDAQ
MASI,Masimo Corporation,Healthcare,Medical Devices,9425.0,23.4,207.7,1302958,175.46,45.81201,0.12,-0.09922,NASDAQ
IRDM,Iridium Communications Inc.,Communication Services,Telecom Services,2514.0,22.0,114.4,2518993,23.95,22.594341,-0.0,0.13121,NASDAQ
LNTH,"Lantheus Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,5189.0,21.4,233.6,960549,76.31,22.378298,0.04,0.1515,NASDAQ
PCTY,Paylocity Holding Corporation,Technology,Software - Application,6308.0,21.0,238.3,815677,115.99,27.356133,0.282,0.14187,NASDAQ
IPAR,"Interparfums, Inc.",Consumer Defensive,Household & Personal Products,3075.0,20.3,168.4,269230,95.88,18.29771,0.068,0.113120005,NASDAQ
TTEK,"Tetra Tech, Inc.",Industrials,Engineering & Construction,9163.0,19.9,352.0,2664630,35.135,26.417292,-0.134,0.07897,NASDAQ
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,6852.0,19.9,403.9,592598,134.28,17.738441,0.045,0.20467,NASDAQ
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,2277.0,19.7,55.9,429171,79.82,40.31313,0.02,0.045679998,NASDAQ
HURN,Huron Consulting Group Inc.,Industrials,Consulting Services,2505.0,19.3,105.0,270936,145.28,24.919382,0.113,0.06317,NASDAQ
ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,4100.0,19.3,301.1,862156,91.22,14.033846,-0.067,0.12718001,NASDAQ
DXPE,"DXP Enterprises, Inc.",Industrials,Industrial Distribution,2192.0,19.3,88.6,129731,139.78,26.029795,0.12,0.04398,NASDAQ
KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology,7610.0,18.9,204.8,306503,260.33,38.05994,0.175,0.52638,NASDAQ
MYRG,MYR Group Inc.,Industrials,Engineering & Construction,4168.0,18.8,118.4,241911,268.5,43.4466,0.173,0.03237,NASDAQ
VICR,Vicor Corporation,Technology,Electronic Components,8172.0,18.5,118.6,643606,181.92,69.43512,0.115,0.29079,NASDAQ
RMBS,Rambus Inc.,Technology,Semiconductors,9907.0,18.5,230.5,2263390,91.91,43.559246,0.181,0.32567,NASDAQ
OSIS,"OSI Systems, Inc.",Technology,Electronic Components,4652.0,18.3,153.1,252941,274.03,31.069162,0.105,0.08517,NASDAQ
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,4027.0,18.3,376.7,1573938,60.39,11.101103,0.03,0.06266,NASDAQ
MZTI,The Marzetti Company,Consumer Defensive,Packaged Foods,4530.0,17.9,179.5,176555,164.8,25.237366,0.202,0.09252,NASDAQ
ENPH,"Enphase Energy, Inc.",Technology,Solar,5395.0,17.9,172.1,6935208,41.15,31.899227,-0.103,0.11686,NASDAQ
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,4982.0,17.7,397.6,5242321,16.03,12.92742,0.073,0.07435,NASDAQ
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,Apparel Retail,5886.0,17.6,464.9,1655953,65.62,12.96838,0.101,0.07541,NASDAQ
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,4391.0,17.2,184.4,200573,562.61,24.450672,0.113,0.08372,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",Energy,Thermal Coal,3460.0,17.1,308.2,424338,26.89,11.204166,-0.092,0.14177,NASDAQ
MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,2044.0,17.1,144.6,2456442,14.16,14.905263,0.059,0.20255,NASDAQ
FRSH,Freshworks Inc.,Technology,Software - Application,2449.0,16.9,183.7,5275162,8.62,13.68254,0.145,0.21903,NASDAQ
HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,3138.0,16.9,82.4,161111,150.12,38.005062,0.079,0.07752,NASDAQ
PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,2210.0,16.6,159.9,559915,34.36,14.198347,0.2,0.189,NASDAQ
SKYW,"SkyWest, Inc.",Industrials,Airlines,3853.0,16.6,428.3,279735,95.36,9.213527,0.085,0.105550006,NASDAQ
DOX,Amdocs Limited,Technology,Software - Infrastructure,7391.0,16.5,571.1,1294205,68.47,13.243713,0.041,0.12474,NASDAQ
LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,2418.0,15.8,57.7,186340,106.15,42.123016,0.157,0.2313,NASDAQ
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,2501.0,15.8,132.6,433357,50.15,20.386179,0.08,0.13111,NASDAQ
OTTR,Otter Tail Corporation,Industrials,Conglomerates,3745.0,15.6,275.9,253990,89.26,13.6274805,0.016,0.21156,NASDAQ
GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,4928.0,15.5,379.1,2287148,22.51,12.936782,0.19,0.15185,NASDAQ
