ticker,company_name,sector,industry,price,market_cap_mm,ev_mm,pe_trailing,pe_forward,ev_ebitda,revenue_mm,op_margin,profit_margin,rev_growth,fcf_mm,net_debt_mm,beta_raw,wacc,cost_of_equity,beta_relevered,beta_unlevered,size_premium,equity_weight,peers_used,iv_bear,iv_base,iv_bull,upside_base_pct,upside_bear_pct,upside_bull_pct,margin_of_safety,growth_near,growth_mid,growth_source,ebit_margin_used,ebit_margin_source,capex_pct_used,capex_source,da_pct_used,da_source,tax_rate_used,tax_source,exit_multiple_used,tv_pct_of_ev,implied_growth_pct,tv_high_flag,analyst_target,analyst_recommendation,num_analysts
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,89.28,4255.0,3125.0,3.771863,23.039999,1.998,4213.0,16.2,27.4,-19.4,805.0,-1139.0,0.248,6.74,6.74,0.25,0.25,1.0,100.0,CALM (self),297.65,905.35,2039.08,914.1,233.4,2183.9,90.1,16.4,10.7,3yr_cagr,26.7,3yr_avg,4.82,3yr_avg,2.65,3yr_avg,23.8,3yr_avg,15.0,74.0,,False,87.75,none,4
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,67.35,7948.0,9984.0,26.308594,6.839299,11.12,1397.0,56.3,22.7,51.6,185.0,2034.0,1.019,9.4,10.6,1.02,0.85,1.0,80.0,HALO (self),98.55,483.32,1471.07,617.6,46.3,2084.2,86.1,29.8,19.4,3yr_cagr,50.8,3yr_avg,8.0,3yr_avg,8.18,3yr_avg,23.9,3yr_avg,18.0,79.0,2.3,True,84.5,buy,8
LYFT,"Lyft, Inc.",Technology,Software - Application,13.11,5235.0,4726.0,1.9250661,7.059232,-142.154,6316.0,-11.2,45.0,2.7,1190.0,-521.0,1.906,15.03,15.03,1.91,1.91,1.0,100.0,LYFT (self),25.53,77.85,181.83,493.8,94.7,1287.0,83.2,19.8,12.8,3yr_cagr,15.0,sector_default,1.89,3yr_avg,2.45,3yr_avg,10.1,3yr_avg,20.0,69.0,,False,19.72865,hold,37
MGRC,McGrath RentCorp,Industrials,Rental & Leasing Services,106.93,2632.0,3230.0,18.123728,15.093301,12.246,944.0,28.9,16.6,5.3,146.0,528.0,0.492,7.69,7.96,0.49,0.42,1.0,83.0,MGRC (self),131.28,426.96,1007.12,299.3,22.8,841.8,75.0,19.7,12.8,3yr_cagr,24.3,3yr_avg,5.0,sector_default,14.15,3yr_avg,24.9,3yr_avg,14.0,62.0,-0.3,False,144.6,buy,5
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,23.91,2939.0,2264.0,14.233809,7.6753306,7.657,589.0,40.5,36.4,7.6,171.0,-706.0,0.707,9.04,9.04,0.71,0.71,1.0,100.0,CPRX (self),30.3,92.95,226.75,288.7,26.7,848.2,74.3,21.6,14.1,3yr_cagr,35.1,3yr_avg,6.88,3yr_avg,7.46,3yr_avg,24.3,3yr_avg,18.0,76.0,-2.1,True,34.0,strong_buy,7
DUOL,"Duolingo, Inc.",Technology,Software - Application,101.46,4764.0,3728.0,11.838973,12.2712145,23.954,1038.0,15.5,39.9,35.0,265.0,-1039.0,0.892,9.96,9.96,0.89,0.89,1.0,100.0,DUOL (self),102.43,371.23,1067.03,265.9,1.0,951.7,72.7,30.0,19.5,3yr_cagr,15.5,ttm,2.71,3yr_avg,1.37,3yr_avg,11.5,3yr_avg,20.0,80.0,6.6,True,105.73,hold,17
EEFT,"Euronet Worldwide, Inc.",Technology,Software - Infrastructure,72.85,3063.0,3421.0,10.650584,5.978662,5.117,4244.0,8.7,7.3,5.9,337.0,487.0,0.822,8.71,9.61,0.82,0.73,1.0,86.0,EEFT (self),94.6,254.31,478.77,249.1,29.9,557.2,71.4,7.3,4.7,3yr_cagr,12.3,3yr_avg,2.82,3yr_avg,3.39,3yr_avg,30.7,3yr_avg,20.0,72.0,,False,86.42857,buy,7
FRSH,Freshworks Inc.,Technology,Software - Application,8.52,2419.0,1710.0,13.515874,12.313633,53.354,839.0,17.8,21.9,14.5,160.0,-739.0,0.928,10.14,10.14,0.93,0.93,1.0,100.0,FRSH (self),10.78,28.35,63.21,232.9,26.6,642.3,70.0,18.6,12.1,3yr_cagr,17.8,ttm,2.0,3yr_avg,2.6,3yr_avg,21.0,us_default,20.0,75.0,-4.2,False,12.57143,buy,14
SKYW,"SkyWest, Inc.",Industrials,Airlines,91.01,3677.0,5620.0,8.793237,7.43595,5.721,4058.0,13.1,10.6,8.5,210.0,1767.0,1.616,10.25,13.58,1.62,1.17,1.0,68.0,SKYW (self),31.77,265.96,695.34,192.2,-65.1,664.0,65.8,17.6,11.4,3yr_cagr,10.9,3yr_avg,12.06,3yr_avg,10.97,3yr_avg,21.4,3yr_avg,14.0,72.0,4.9,False,128.33333,strong_buy,6
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,33.35,3548.0,3255.0,40.67683,20.743158,70.842,761.0,2.2,13.1,11.1,114.0,-366.0,0.312,7.06,7.06,0.31,0.31,1.0,100.0,CORT (self),25.34,94.04,255.96,181.9,-24.0,667.4,64.5,25.6,16.7,3yr_cagr,16.1,3yr_avg,5.0,sector_default,4.0,sector_default,13.7,3yr_avg,18.0,79.0,8.7,True,65.4,buy,5
